speaker_id,sentence_id,repetition,phoneme_raw,phoneme,onset,offset,duration_ms,l1_status,gender,F1,F2,F3,f0,SCG,F1_25,F2_25,F1_75,F2_75,formant_qc_fail,F1_norm,F2_norm
AB,14,1,ʃ,ʃ,1.21,1.41006,200.06,ru,f,918.197330036207,2664.469133236345,,,4441.243975404596,,,,,False,1.9157104391838797,1.5438839412438763
AB,14,1,k,k,1.41006,1.50285,92.79,ru,f,1139.791715869079,2315.4106512328294,,,,,,,,False,3.136537283661035,0.9175026529062573
AB,14,1,a,a,1.50285,1.65645,153.6,ru,f,744.3743980008425,1776.639392879053,2824.150851554953,213.6048133766524,,736.7897185483986,1806.4351731930951,625.0021049967422,1719.9523091060053,False,0.9580701956510431,-0.04931595293274854
AB,14,1,ʃ,ʃ,1.65645,1.89189,235.44,ru,f,1091.5665530835013,2787.0685352703795,,462.5218807374388,4289.609884204744,,,,,False,2.8708510701469536,1.7638871079187568
AB,14,1,t,t,2.24,2.28,40.0,ru,f,1384.2130869879518,2348.4203651963635,,,,,,,,False,4.48312451828026,0.976738191436808
AB,14,1,ʁ,ʁ,2.28,2.36,80.0,ru,f,593.0563817110238,1345.2992119162502,,79.66830856306127,,,,,,False,0.12441596905448653,-0.8233507699997092
AB,14,1,w,w,2.36,2.42,60.0,ru,f,497.4794223582811,1011.3943269703784,,235.30819398866527,,,,,,False,-0.4021448337058018,-1.4225391089111044
AB,14,1,a,a,2.42,2.54,120.0,ru,f,756.700512915631,1349.4124434310518,2798.261355958901,218.40526360447777,,685.8359866523462,1308.228653079485,746.1073924229237,1366.9191823206563,False,1.025978287814684,-0.8159696250388876
AB,14,1,f,f,2.54,2.71,170.0,ru,f,1379.523471042582,2055.260898499714,,,3660.705924616516,,,,,False,4.457288082872039,0.45066702025705385
AB,14,1,w,w,2.71,2.77,60.0,ru,f,486.023493579024,944.3905015846996,,214.5512477333433,,,,,,False,-0.46525882158762305,-1.542776675486575
AB,14,1,a,a,2.77,2.94,170.0,ru,f,919.9673473519318,1336.4091275434268,2923.7155000973275,213.18910656781736,,835.1784665591944,1425.2782588538496,1457.5652105998297,1606.7234587174817,False,1.9254619707766343,-0.8393039205174014
AB,15,1,d,d,0.61,0.75,140.0,ru,f,226.1773385779325,696.7250261983006,,211.9946463043825,,,,,,False,-1.8968256018884513,-1.9872094211366835
AB,15,1,i,i,0.75,0.97,220.0,ru,f,469.6958625397748,2754.272173554173,3774.1606156936455,216.4324411431262,,455.9283157744385,2662.65098645398,370.8099761297424,2731.181271919054,False,-0.5552124104590829,1.7050344274548082
AB,15,1,t͡s,t͡s,1.0841,1.21,125.9,ru,f,1437.8155982415856,2404.46062240688,,,,,,,,False,4.7784360823520124,1.0773017655084478
AB,15,1,a,a,1.21,1.31,100.0,ru,f,758.4767542703943,1849.244437705149,2928.7995548844574,208.01859820763383,,680.8711047216764,1891.5941921752808,770.6600930484201,1747.9021073105755,False,1.0357641094184902,0.08097293521271284
AB,15,1,ʁ,ʁ,1.31,1.38541,75.41,ru,f,246.64398752537687,1648.0321782014414,,205.37772730504503,,,,,,False,-1.784068979658974,-0.2801000678377798
AB,15,1,i,i,1.38541,1.49,104.59,ru,f,497.3913172178448,2685.078833813509,3588.593311365888,217.71775839788944,,460.5640002869036,2449.020914184477,453.7076576691858,829.0864573788924,False,-0.40263023012131477,1.5808678034485097
AB,15,1,n,n,1.49,1.66684,176.84,ru,f,321.8942929621828,754.248378549154,,286.4788179389699,,,,,,False,-1.3694935264629484,-1.8839844505007788
AB,15,1,t,t,2.03,2.08,50.0,ru,f,1390.2668713255882,2575.932720371576,,,,,,,,False,4.516476547494737,1.3850064029107247
AB,15,1,ʁ,ʁ,2.08,2.16,80.0,ru,f,723.3893247031166,1154.015234397642,,,,,,,,False,0.8424574254136844,-1.1666075892831989
AB,15,1,w,w,2.16,2.21,50.0,ru,f,498.8473279779952,987.0102165050292,,213.26171889450904,,,,,,False,-0.3946086504447439,-1.4662961047032834
AB,15,1,a,a,2.21,2.36,150.0,ru,f,811.9560287523807,1379.1682877234666,2802.825225966033,214.98856474137264,,701.4216885805421,1313.3258954108478,815.9149406490769,1389.736417588294,False,1.3303967268712285,-0.7625731168764855
AB,15,1,f,f,2.36,2.52,160.0,ru,f,1123.842332002028,1614.9933715712025,,,3732.603857965227,,,,,False,3.0486675666346637,-0.33938781281221103
AB,15,1,w,w,2.52,2.58,60.0,ru,f,499.8032737558858,930.7146507419402,,101.63491240494432,,,,,,False,-0.38934207176709784,-1.5673178269315482
AB,15,1,a,a,2.58,2.76,180.0,ru,f,763.9202282560092,1419.0962928278177,3001.7608502210264,208.47503669476555,,910.1756817952388,1398.7170956109046,1339.5375225485377,2018.814500785269,False,1.065753764363376,-0.69092278729715
AB,16,1,d,d,0.66,0.82,160.0,ru,f,221.5623423011972,749.9357357286619,,209.7294867005535,,,,,,False,-1.9222509362019742,-1.8917234366744844
AB,16,1,i,i,0.82,1.06,240.0,ru,f,470.4468417449931,2709.534903654191,3674.1098682910224,210.4345164663483,,355.65044068367405,2672.8392017506258,430.3582140978174,2650.029507914662,False,-0.5510750512478885,1.6247539294826194
AB,16,1,t,t,1.23149,1.33314,101.65,ru,f,1082.4617586172703,2713.917248886074,,,,,,,,False,2.8206901535874294,1.6326179958033438
AB,16,1,y,y,1.33314,1.45173,118.59,ru,f,314.71495443144744,2137.2554176141584,2559.04620953666,248.3748183178332,,321.5232457668102,2409.108808501257,286.0354823067141,1801.410592227683,False,-1.40904655562011,0.5978052081754093
AB,16,1,l,l,1.45173,1.58068,128.95,ru,f,341.7707446358586,602.1670880614923,,328.60762670170953,,,,,,False,-1.2599884698029047,-2.156892514848431
AB,16,1,t,t,1.87,1.91,40.0,ru,f,1028.3135844111189,2355.9731744032365,,,,,,,,False,2.522372376258213,0.9902916175974181
AB,16,1,ʁ,ʁ,1.91,2.0,90.0,ru,f,674.5988475817783,1296.1050983975642,,,,,,,,False,0.573656733551832,-0.9116290207604264
AB,16,1,w,w,2.0,2.04,40.0,ru,f,487.0015509516617,1058.49872880153,,226.6604693394132,,,,,,False,-0.45987042381090537,-1.338010820883219
AB,16,1,a,a,2.04,2.19,150.0,ru,f,792.5924257235737,1347.835749836204,2822.6920789788105,221.36249226154692,,716.2950070178988,1368.0746634518134,781.6379431050937,1424.4132292714569,False,1.223717100063373,-0.8187989829149253
AB,16,1,f,f,2.19,2.34,150.0,ru,f,1190.376859692812,1940.863562519536,,,3862.769473253693,,,,,False,3.415225307636189,0.24538236342142994
AB,16,1,w,w,2.34,2.41,70.0,ru,f,509.96414162904887,888.1908776706947,,101.53079138278564,,,,,,False,-0.33336294478642325,-1.6436262312094165
